id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5501
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00466370,22,22,4993
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00164529,22,22,4671
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00049794,22,22,4956
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01237372,22,22,2956
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1595
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00286885,22,22,2104
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00021953,22,22,2467
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00061809,22,22,2318
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,23,22,3282
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00315883,22,22,1474
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00004766,29,29,1193
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00987217,30,30,2292
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00215310,30,30,2438
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,30,29,720
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,4.99595187,35,35,3788
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1733
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00082843,36,36,5434
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00307435,36,36,5159
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00211087,36,36,6245
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6921
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00881736,35,35,6211
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,3.99786091,35,35,3645
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,1.99664113,35,35,2717
24,0.00424600,0.00004788,0.00016975,0.000195428571429,bnb,3,0,1,,35,32,3259
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00901894,32,32,2148
